id;player_1_chosen;player_2_chosen;player_1_discarded;player_2_discarded;game_id;theme_card_id
101;false;false;false;false;1;1
102;false;false;false;false;1;2
103;false;false;false;false;1;3
104;false;false;false;false;1;4
105;false;false;false;false;2;5
106;false;false;false;false;2;6
107;false;false;false;false;2;7
108;false;false;false;false;2;8
109;false;false;false;false;3;1
110;false;false;false;false;3;2
111;false;false;false;false;3;3
112;false;false;false;false;3;4
113;false;false;false;false;4;5
114;false;false;false;false;4;6
115;false;false;false;false;4;7
116;false;false;false;false;4;8
