id;path
11;programming-languages/bash_512.png
12;programming-languages/c_512.png
13;programming-languages/cobol_512.png
14;programming-languages/cpp_512.png
15;programming-languages/csharp_512.png
16;programming-languages/dart_512.png
17;programming-languages/erlang_512.png
18;programming-languages/fortran_512.png
19;programming-languages/go_512.png
20;programming-languages/haskell_512.png
21;programming-languages/java_512.png
22;programming-languages/javascript_512.png
23;programming-languages/lisp_512.png
24;programming-languages/lua_512.png
26;programming-languages/objective-c_512.png
27;programming-languages/perl_512.png
28;programming-languages/php_512.png
29;programming-languages/prolog_512.png
30;programming-languages/python_512.png
31;programming-languages/r_512.png
32;programming-languages/ruby_512.png
33;programming-languages/rust_512.png
34;programming-languages/swift_512.png
35;programming-languages/tex_512.png
